Comment,Rating
"quán nay đông người bán nên bán hàng rất nhanh dù đông nhưng không sợ chờ lâu. quán bán sạch sẽ, quẩy rán vừa nóng ăn rất ngon, không bị để lâu, mình thấy bán tới đâu rán tới đó vậy sẽ giữ được hương vị thơm ngon của quẩy. à thấy quán đăng có chi nhánh mới bên đống đa ai ở gần nên ăn thử, chắc chắn ghiền",1
"quán bán lúc nào cũng thấy đông khách hết, nay có thêm chi nhánh mới đỡ phải đợi lâu rồi. bánh mua ở quán lúc nào cũng nóng hỏi thơm ngon. cô chủ rất dễ thương",1
"mừng xỉu, nghe tin quán có chi nhánh mới lại gần nhà nay không cần phải đi xa như trước nữa. công ty mình rất hay đặt bên đây ăn, quẩy nóng giòn ăn rất ngon. chúc cửa hàng ngày càng đông khách",1
"cứ cuối tuần lại ghé ăn lần và vẫn ngon như mọi lần. đúng ngon từ chất thật từ tâm, món nào cũng ngon nhưng em vẫn luôn ăn bánh quẩy kèm với sữa đậu nành",1
"vì công ty mình ở ngay gần quán nên thường đi bộ ra đây mua, có hôm đc nghỉ ở nhà thèm quá thử tìm trên foody xem có giao hàng từ quán này ko thì thấy cũng có luôn thế là lại đặt về nhà ăn. một món ăn chơi chơi nhưng ngon nên sẽ tiếp tục ủng hộ dài dài. cái này chỉ mua về ăn thôi nha các bạn chứ ko có hàng quán gì để tới ăn đâu ạ",1
cửa hàng phục vụ nhiệt tình vui vẻ với khách. giá cả tôi thấy khá rẻ. không gian quán sạch sẽ sáng sủa trang trí đẹp nhẹ nhàng. nói chung là sẽ quay lại tiếp,1
"lần này ghé lại vào buổi sáng
gọi cháo sườn quẩy ruốc đầy đủ
30k/1 phần
cháo mịn",1
"ra hn nhiều lần lắm rồi nhưng đây là lần đầu tiên mình đi ăn cháo sườn. 1 tô như hình là 25k
ban đầu mình cứ nghĩ là sẽ có mấy cục sườn sụn ăn chung mà ai dè hoá ra xay cháo vs sườn ]]]] nhìn chung cháo ngon, mịn nhưng ko quá đặc, ko nóng lắm, bỏ ruốc vào thì ăn thấy hơi mặn.
mình sẽ ghé lại",1
"cháo nhà cô thì vẫn ngon như mọi khi nhưng khs hnay m nhận đc 1 cái thìa ăn rồi. 
chả nhẽ ship đi đường mở ra ăn",0
"từ cần thơ ra hà nội ăn cháo sườn lần đầu tiên trong cuộc đời. một buổi sáng trời mưa lất phất, cầm bát cháo nóng hôi hổi trên tay, chầm chậm thưởng thức hương vị. ôi chao vừa lạ miệng vừa ngon. một tô đầy đủ 40k, cao hơn so với mặt bằng chung 30k của các món ăn ở cần thơ nhưng vẫn chấp nhận được vì khá ngon.",1
"lâu lắm rồi mình mới có một ngày dậy sớm, đi ăn sáng cafe loanh quanh hà nội. hôm qua ngủ muộn, lại quá mệt nên mình không lựa quán để đi ăn sáng từ trước. đi qua hàng bồ định vào ăn cháo sườn nhưng vừa đến nơi thì cô bán hàng bảo “vừa mới hết xong”, mình buồn ơi là buồn í. loay hoay thế nào lại đi nhầm vào ngược chiều phố lí quốc sư, nhìn thấy cháo sườn cô là nên rẽ vào ăn luôn 
bọn mình gọi 1 bát cháo sườn quẩy ruốc, 1 bát không ruốc. bát cháo múc ra nóng hổi siêu đã, mình phải để nguội một lúc mới ăn được ý. quẩy giòn tan, mình ăn cháo hay dìm quẩy xuống cho mềm và ngấm cháo rồi mới ăn. cháo ở đây đúng là bát cháo ngon nhất ở hà nội mà mình từng ăn. cháo sánh mịn, trắng trong, thơm gạo, ngọt lịm nước hầm xương. ăn ở các hàng cháo khác, chưa bao giờ mình nếm được cái ngọt này. nó giống như cháo mẹ mịn nấu ở nhà, nấu bằng cả cái tâm chứ không chỉ là bán hàng thông thường.
trời hà nội nắng, cô ngồi bên nồi cháo cả ngày, nhìn hơi mệt mỏi nên có thể khi gặp lần đầu thì mọi người sẽ nghĩ cô khó tính. nhưng đến lúc nói chuyện với mình, cô tươi cười dễ gần hơn hẳn.
bọn mình ăn 2 bát này hết 45k, đoán chừng bát không ruốc 20k, có ruốc 25k. một cái giá quá hợp lý cho một bát cháo siêu ngon, đã tồn tại hơn 20 năm trên phố cổ hà nội!!!
 địa điểm: ngã tư hàng bông - lý quốc sư (vỉa hè 2a lý quốc sư), hoàn kiếm, hà nội.
 giá: 20k-25k/suất
 thời gian: 6:30-10:00 và 14:00-18:30.",1
"mình hay mang cặp lồng mua về cho cả nhà ăn vừa được nhiều lại rẻ. cháo của cô sánh mịn, đậm đà, nhiều thịt. cô mở hàng đều đặn từ sáng sớm tới tận chiều tối nên bữa nào đói đều có thể mua về ăn được.",1
"gọi hai bát cháo sườn sụn quẩy ruốc tất cả ship là 98k. nhưng hai vc ăn từ đầu bát đến cuối bát đều k có một cục sườn nào chứ đừng nói sụn gì.  chắc nấu nhừ quá nên sụn tan hết vào cháo rồi. hôm qua hí hửng đánh dấu quán vì thích ăn cháo sườn,  hôm nay bỏ đánh dấu không hẹn ngày gọi ship tiếp. ",0
nếu ai biết chuyện của cô chắc chắn chả bao giờ muốn ăn hàng cháo ở ngõ huyện.cháo của cô luôn có vị đặc trưng thơm mùi gạo mùi thịt.ruốc thỉnh thoảng có đợt hơi bị mặn nên ai ăn cháo kèm ruốc thường sẽ đậm hơn 1 chút.mình rất mê món cháo của cô vì hạt gạo được xay nhuyễn ăn mê người.mình thường gọi cháo sườn quẩy ruốc 20k/bát ăn xong mà no đẫy bụng.chưa có dịp thử sườn sụn của cô.sẽ quay lại để thử.cô còn bán các chè sẵn nữa mùa đông mà được ăn bát cháo của cô thì tuyệt vờiiiiiii,0
"cháo không ngon. giá cũng không hề rẻ. được cái võ chí công là đường mới nên quán có chỗ để xe khá rộng rãi, quán sạch sẽ ( chắc tại ít người ăn) .không gian quán cũng rộng, nhân viên không thân thiện cho lắm. ăn một lần và chắc chắn cũng không có ý định quay lại. thêm nữa quán có ship hàng nhưng giao chậm, giá ship cũng gần bằng giá cháo cho quãng đường hơn 1km",0
mọi ng cho 1 lời nx xem gọi bát cháo từ võ chí công ra nguyễn hoàng tôn chưa đến 5' đi xe máy mà tính 20k tiền phí thì ko hiểu là nhân viên ăn chặn hay chủ quán thu như vậy nữa? đúng là hà nội chặt chém thì dễ ,0
"quá tệ !
đặt mì gà 40k giao đến chỉ có lèo tèo đúng vài miếng gà & rau, k có tí mì nào ! quá chặt chém khách",0
"chiều ngày 16/12 mình có mua bát cháo của c.hg này về cho con trai ăn,khi ăn xong cũng chưa có biểu hiện gì đến đêm thì con bị đau bụng đi ngoài liên tục khoảng gần 20 lần và sốt nhẹ ,mình mua thuốc smecta về cho con uống nhưng ko đỡ và tiếp tục bị đi ko cầm dc gd đã cho con vào bv cấp cứu.sau khi xét nghiệm đã kết luận con tôi bị nhiễm khuẩn dạ dầy và đường ruột.con trai tôi ăn bát cháo của cửa hàng này mà phải vào viện nằm..vậy mọi người không nên ăn cháo ở đó nữa để tránh rủi ro đáng tiếc xảy ra",0
"cháo ngon sánh
phục vụ nhiệt tình
máy tính tiền chuyên nghiệp
điều hoà mát rượi
mình sẽ quay lại nhiều lần nữa",0
"một trong mấy món ngon ở hà nội mình muốn ăn nhứt đó là bún đậu mắm tôm. bữa nay đi chụp dạo, được mấy tay anh em thổ địa chỉ cho chỗ bán vừa rẻ vừa ngon. phía ngoài có tấm biển to dễ thấy lắm, nhưng mà quán hơi nhỏ, chừng 3 cái bàn nhựa thôi, như kiểu vỉa hè mà ở trong nhà. giá cả khỏi lo chặt chém nha, niêm yết trong tấm bảng menu đàng hoàng. 2 đứa ăn thì khoảng 40k là no nốc ao. chả cốm thơm ngon dễ sợ, rau thì ăn bao nhiêu tự lại hốt. ghiền nhứt mắm tôm, không biết pha ra sao mà tới giờ nhắc là thèm kinh khủng! có dịp ra bắc sẽ ghé lại!",1
"được dịp ra thăm hà nội, mình và hội bạn cương quyết phải ăn cho bằng được món đặc trưng ở hà nội đó chính là bún đậu mắm tôm. 
may mắn được anh tế tài xê taxi chỉ cho 1 ""địa điểm vàng"" mà theo anh ấy là quán này rất được dân địa phương ưa chuộng và tìm đến ăn, đó là quán liên béo. quán này đúng chất bình dân, không gian quán được bày trí khá đơn giản, chỉ là vài ba cái bàn nhựa, ghế nhựa để trong nhà cho khách ngồi, menu được treo bự chảng trên tường để dễ cho người ăn xem và gọi món. cả đám tụi mình nhanh nhảu gọi món bún đậu ra thưởng thức. gọi món chưa đầy 10 phút đã có 1 mẹt bún mang ra với những bún, đậu, thit, chả nhìn rất ư là hấp dẫn. có một điều mình đặc biệt thích ở quán ăn này đó chính là nước chấm. nước chấm ở đây mùi không nặng như ở sài gòn, vị bao ngon, 1 chút bùi, 1 chút ngọt kết hợp với 1 chút vị chua của quả tắt (hạnh) thì đúng là ngon vô đối. thêm 1 điểm cộng ở quán này nữa đó chính là free rau thêm nha, muốn ăn rau thêm thì tự phục vụ, lấy rau thoải mái mà ko phải tính thêm tiền đâu. cô chủ ở đây cũng khá thân thiện, vui vẻ, giá thì rất bình dân, tầm 35k thôi nha. có dịp ra hà nội chắc chắn sẽ ghé quán này ăn tiếp.",1
"quán bít tết ngon nhất từng ăn!!!
bít tết ở đây quá tuyệt vời, mình đã từng ăn bít tết ở một số nơi nhưng mùi vị đều na ná nhau và không ngon bằng ở đây, kể cả bít tết trên hòe nhai cũng không ngon bằng. 
65.000đ một chảo đầy đặn, có 2 bít tết thái miếng và 2 bít tết băm viên. miếng bít tết dày nhưng vẫn cực mềm. bít tết được chế biến cùng với sốt tiêu đen, nước sốt rất đậm đà, thơm ngon, sánh quyện và có vị cay đặc trưng. mình thích ăn cay nên rất hợp khẩu vị, lúc nào đi ăn mình cũng phải gọi thêm 1 bát nước sốt, nếu ai không ăn được cay có thể bảo nhà bếp nấu ít cay đi. một điểm trừ là bánh mì không được ngon lắm. 
vị trí quán nằm ở ngay mặt đường nguyễn ngọc vũ, rất dễ tìm. 
không gian quán không được đầu tư decor đẹp, nhưng cũng thoáng mát sạch sẽ. vì là quán bia nên hơi ồn. ngoài bít tết thì chủ yếu quán chỉ có những món nhậu như bắp bò, xách bò, móng giò, đậu tẩm,....",1
"quán ngan vịt ngon rẻ giá tầm trung !
.
.
.
mới khai phá được 1 hàng ngan ăn khá ổn. không gian ko mấy rộng lắm có cả vỉa hè và trong nhà, giá của 1 bát tầm 30k, đầy đặn. mình lại ko gọi bún ngan mà gọi thịt ngan chặt với canh măng tiết rồi ăn kèm bún chấm thôi. 
quán này bán đa dạng lắm, ngan vịt, lòng mề, tiết canh đủ cả. cô chủ bán hàng nhiệt tình, mình gọi chân gà cô bảo tự chọn đi, thích cái nào nhặt cái đấy như ăn buffet vậy :)) thịt ngan được cái ngon, chắc thịt, không bị mỡ hay hôi gì cả, tuy nhiên phần nước chấm thì mình thấy hơi ngọt, chấm ngan chưa đủ đậm nên đỡ ngon đi bao nhiêu
canh măng tiết nước dùng ngọt thanh, nhưng mình thấy có mùi gì đó hăng hăng là do măng hay là do tiết cũng không rõ luôn. 
2 đứa ăn chỗ này tưởng ko đủ mà lại no lắm. giá mà nước chấm là xì dầu tỏi ớt thì ngon lắm ấy !!!",1
"quán đông. hơi bẩn. ngồi ngoài đường. để xe xa. có người trông nhưng vẫn phải khoá xe. phải tự lấy ghế. đeo găng tay nhưng để sạch tay, còn vừa đeo cầm ghế, quệt đất, rồi bưng bê. trên bàn ko có đũa. nói chung là mình quen sạch nên chắc ko quay lại. ko ngon lắm. nhiều bác hút thuốc. ko quay lại.",0
"vừa khai quật được 1 hàng bún ngan max ngon. giá của 1 bát tầm 30k, đầy đặn. mình gọi bát thịt đùi, thịt mềm, không quá mỡ. tiết với măng cũng ngon lành cành đào, mà mê nhất là nước dùng, đúng kiểu mình thích, vừa vặn đậm đà mà vẫn thanh thanh. quán bán khá thoải mái, thích ăn gì có thể tự ra lấy như đi ăn buffet )) nước chấm ăn cũng được nhưng hơi ngọt với mình, muốn vừa miệng hơn thì phải nêm nếm thêm. nói chung với giá tiền và một bát bún đầy đủ như vậy là thấy ấm lòng rồi. sẽ quay lại nhiều!",1
"trong menu đặt hàng mình thấy thêm hộp nhựa (5k/ hộp) mình có đặt thêm với mỗi suất (tổng là 5 suất). vậy khi shipper giao đến không hề có hộp nhựa, đã vậy lại không có cả đũa. thử hỏi mua đồ ăn về thì không có đũa thì ăn sao? chắc chắn sẽ không đặt lại lần nào nữa",0
mình có order 1 hộp sữa chua từ chè xoan. dù hạn ghi 30/7/2020 nhưng sữa chua đã lên mùi,0
"chè thơm, ngon giá hợp lí
giao hàng nhanh
nem chua rán ok",1
"quán nằm ngay mặt đường cầu giấy, ở ngay gần trường đại học giao thông vận tải.
quán có một tầng thôi nhưng không gian rộng rãi, sạch sẽ sáng sủa.
menu rất đa dạng nên cũng khó để lựa chọn )) mình cứ lựa chọn theo cảm tính thôi :v
mình gọi 1 chè xoan kem dừa, 1 chè thái bưởi, 1 chè thốt nốt.
đánh giá thì chè nào cũng ngon cả, nhưng đặc biệt có chè thốt nốt mình chưa ăn ở đâu bao giờ nên cảm giác ăn rất lạ miệng và ngon, đáng để thử, còn chè bưởi và chè dừa thì nhiều nơi có ))
nhân viên ở đây phục vụ cũng rất nhiệt tình, có cả nước lọc tráng miệng nữa luôn.",1
"hôm nay vào ngày nắng nóng,  tôi tới chè xoan ăn như một cái duyên. ăn với bạn.  gọi chè bưởi và chè thập cẩm và caramel.  
nước cốt chè ngon, bùi.  chè bưởi siêu ngon,  cùi dẻo dao,  bùi.  ngon vừa miệng. chè thập cẩm ổn.  còn caramel thì hơi bị ngậy và khác với caramel bình thường hay ăn.  ở đây công thức nghe vẻ có sữa bột nên hơi ngậy.  nhưng ngon.  thái độ phục vụ tốt dù họ làm việc liên tục.  quán sạch sẽ.",1
quán làm chè và mọi thứ ngon lắm mọi người ạ ..quán sạch sẽ mà nhân viên phục vụ rất tuyệt vời ..cô chủ quán lại còn vui tính nữa chứ ..ncl mọi thứ đều trên tuyệt vời ..mn qua đây nhớ ghé vào ăn nhé ..mình ăn 1 lần mà ngon k muốn về luôn ..hehehehe ..mk là mình kết món caramen sầu riêng ..ngn tuyệt cú mèo ,1
giá bình dân nên mình cũng k hi vọng gì. nhưng bao năm rồi mình thấy vị trà vẫn vậy không thay đổi. mình k thích vị quá ngọt ở đây,0
"mua ở đây rất nhiều lần rồi, lần đầu bị giao sai đồ, mua trân châu trắng cho luôn vào trân châu đen.
trân châu trắng 6k còn trân châu đen chỉ 2k thôi. uống trân châu đen nhũn như cháo.",0
"thấy dạo này feeling tea cũng rất chăm chỉ đổi mới để theo kịp các hãng trà sữa khác. kiểu ra thêm các loại topping rồi các vị trà mới ấy.
vào quán thấy có dòng trà sữa sữa tươi trân châu đường đen mới ra nên cx tò mò order thử 1 cốc matcha sữa tươi trân châu đường đen xem ntn. kết quả là chán ngấy ra hic hic phí cả 38k của toy. biết thế mua hồng trà như mọi lần thôi. thấy feeling tea best nhất hồng trà rồi. vs cả trân châu socola cx ngon. 
nhân viên ở cơ sở kim ngưu thì ko chê vào đâu đc . lịch sự ân cần chu đáo. quán cx ko đông lắm. có wifi nhưng chỉ dùng được trong 45 phút thôi hết 45 phút thì mua thêm nước để được thêm mã nhé",1
"hnay mình vừa oder 2 cốc xanh sữa size m ko đá mà giao cả 2 cốc full đá. 
trà sữa ở đây nhạt nhẽo hơn các cơ sở khác rất nhiều. mà lại còn full đá nữa nên uống thực sự càng nhạt nhẽo hơn! được cái giao hàng nhanh! hix",0
"lần đầu tiên thử đặt đồ ăn online, ship nhanh trong 10 phút, trong 3km đồ ăn vẫn nóng. tuy nhiên nên giảm thiểu túi nilon & hộp nắp + thìa nhựa, thay bằng các chất liệu thân thiện môi trường hơn sẽ perfect.",1
"quán này ngay gần nhà mình đi có vài bước, mà phải đến khi bạn đưa đi thì mới biết :))) 
quán có 2 tầng, cũng nhiều chỗ và bàn lắm, đi tầm tối thì khá đông. được cái phục vụ nhiệt tình:))
mình không thích ăn bún lòng, nên gọi cháo lòng ăn thử. 20k/suất cháo và 25k/ suất bún lòng hoặc bún trộn lòng nhé! cháo ăn hơi loãng, gồm lòng, dạ dày, gan và dồi nhé! nhiều nhân lắm luôn, mình ăn hết cháo rồi mà vẫn còn đầy dạ dày và lòng. thấy bạn mình hay qua đây ăn lắm, bún lòng thì đầy ự, cũng rất nhiều nhân. sẽ quay lại nhé!!!",1
"mình rất ít khi ăn bún lòng  nhưng ăn ở đây xong nghiện luôn ý . chỉ 25k cho 1 bát bún lòng đầy ú ụ . chị bán hàng thân thiện , niềm nở . tuy nhiên điểm trừ là quán hơi mất vệ sinh , không gian hơi chật hẹp .",1
"tối hôm qua mình lượn lờ đoạn trương định tìm quán bún đậu để ăn mà k thấy,bụng thì đói meo.thấy quán cháo lòng bên đường nên mình  rẽ vào ăn.
bên ngoài thì treo biển cháo lòng nhưng lùi vào trong có biển nhỏ ghi cháo,bún,mỳ lòng.bên cạnh là xe bún ngan,vịt của cô khác nhưng ăn ở đấy luôn,2 quán dùng chung 1 mặt bằng.
mình vào gọi cháo lòng xong hỏi chị chủ còn có bún lòng nữa,thế là mình gọi bún lòng.
khá bất ngờ khi chị ấy bưng ra bát bún to đùng,nhiều bún,nhiều lòng lắm: huyết,dạ dày,lòng non,sụn,cuống họng,tràng đầu u cả bát.lúc đó cũng 8 rưỡi tôi nhưng lòng vẫn còn tươi,k có mùi,ăn khá giòn.nước lèo ngọt,là nước hầm vịt hay ngan ý,có cả măng nữa.
quán nhỏ thôi,tuy k đến mức quá sạch sẽ nhưng cũng ổn,bàn ăn là bàn nhựa nhưng khi mình ăn rất sạch sẽ. 
điều mình thích nhất ở đây là thái độ phục vụ của chị chủ,chị ấy tầm 35 tuổi,cực kì thân thiện.ban đầu thấy bát mình hơi ít nước chị lấy nước cho thêm,sau lại hỏi có uống trà đá không (trà đá free ạ).chị ấy ngồi ngoài cửa bảo cần gì cứ gọi chị.sau mỗi câu nói chị đều cười rất niềm nở.nói chung rất nhiệt tình .mình chấm điểm 10 cho phục vụ. 
mn nghĩ bát bún kia có giá bao nhiêu,mình ăn xong trả tiền còn bất ngờ vì bát to mà nhiều topping nhưng chỉ #25k thôi,mình nhắc lại là #25k đó.free trà đá nhé.
p/s: chắc chắn sẽ quay lại biết đâu thành khách ruột ",1
"1. tại sao mọi thứ lại lâu như vậy? gọi lên đồ lâu, thanh toán cũng lâu. và có vẻ như thịt cũng lâu rồi?
2. mọi thứ đều lâu trừ thời gian nướng thịt là nhanh?? bạn phục vụ nướng, gắp ra đĩa cắt và kết quả là miếng sườn này vẫn còn sống. 
3. à. có con muỗi trong xà lách các bạn nhé. :(",0
"mình ăn ở king bbq vài lần nhưng hnay là lần đầu ăn ở aeon mall hà đông phải nói cực tệ không bao giờ quay lại 
1. thái độ phục vụ quá kém, đồ ăn buffee quầy có sẵn thì gần như hết sạch mãi không thấy refill. nhưng quan trọng hơn hết là thịt mang lên quá lâu. đi ăn buffee mà như đi ăn xin, mỗi lần lên đc 4 đĩa xong order ít nhất phải 20-30p sau mới có đồ lên (đấy là giục rất nhiều nhân viên) gặp nhân viên nào cũng giục xong nhân viên lại hỏi lại order 1 lần. kết quả mất hết cả hứng ăn uống và cực kỳ mệt mỏi. than tàn hết rồi cũng ko mang được hết đồ ăn 
2. nhân viên order nói : vâng em mang lên luôn cho có nhưng thực tế thì như mục 1. nói như không, gọi thì giả vờ như ko nghe thấy 
3. gọi đồ 1 đằng mang đồ lên 1 nẻo, hình ảnh menu chỉ mang tính chất minh họa cũng không đc trình bày đẹp mắt, tươi như vài lần mình ăn king chỗ khác 

lần cuối ăn ở đây, đưa phụ huynh và trẻ con đi ăn mà ai cũng nản, hết hồn, chả buồn đi chơi chỗ khác vì ăn + chờ đã mệt và mất hứng",0
"hi mọi người  ! 
em là 1 đứa rất hay đi ăn uống :))) cái câu ăn cả thế giới mà không béo là có thật đấy mn ạ :)) 
nơi mà em hay tụ tập anh chị em gia đình là ở đây nè :)) theo cá nhân em,  em dám khẳng định đây là nơi nướng chuẩn vị hàn nhất mà giá cả cũng phù hợp với chất lượng :))) nhà em hay đi ăn với giá bf là 339k :))) hình như còn có cả giá 199k - 249k - 299k... 339k là có hai mấy món thì phải :))) nhân viên phục vụ siêu chu đáo :))) nếu k thưởng cho các bạn ấy vì sự nhiệt tình thì thật là có lỗi ",1
"lần t2 ăn ở kbbf là ở aeon mall. lần trc 3 cháu gọi set 199k mà cũng no căng bụng r mỗi tội toàn heo với gà, thế là lần này quyết set 279k. quả là quyết định chuẩn, thịt bò nhiều hơn lại còn có nhiều lụa chọn hơn, mà chênh nhau k đáng kể nữa. 
mình thích những món ăn kèm ở kbbf, phong phú, đặc biệt ở aeon mall còn có thêm món dessert là kem nữa chứ.
vị trí của ch dễ tìm, ngay gần food court nên dễ tìm, không gian cũng rộng.
nhân viên chạy bàn chủ yếu là các bạn nam nhưng cũng vẫn rất chuẩn, phục vụ cũng nhiệt tình. 
tuy nhiên hệ thống thông gió hơi kém chút, kiểu bàn trc bay hết khói vào bàn sau, k có vách ngăn giữa các bàn như bên nguyễn chí thanh nên hơi khó chịu chút vì ngồi hướng nào cũng hứng khói.",1
"được về đất hưng yên thưởng thức bát bún thang mà ăn lần đầu thôi đã bị nghiện. đợi chờ mòn mỏi thì cuối cùng bún thang hưng yên cũng đã cập bến đất hà thành. hai vợ chồng ở tận cầu giấy mò mẫm lên ăn thì không thể tả nổi, bát bún ngon tuyệt vời giữ nguyên được hương vị khi lần đầu mình ăn ở hưng yên. nên chắc chắn sẽ quay lại và chúc anh chị chủ luôn buôn may bán đắt ",1
"lại là an biên :))) món ngon khó bỏ, 1 tháng mà ko ăn 1 lần là bứt rứt không chịu được 
10/10 cho chất lượng đồ ăn, thái độ phục vụ và không gian nhé.",1
trở lại ăn nhanh bát bánh đa cua. hài lòng,1
"ở đây nào là câu chuyện: thạch sanh - lý thông. nào là chuyện ăn chả - ăn nem
mình hôm nay ăn chả trước. rồi sau đó ăn nem",1
"nay đặt bàn liên hoan cho công ty. đi trước xem quán chuẩn bị thế nào.
ấn tượng với không gian ở đây.",1
